Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752747155,100,,Aggregated,29.400000,0.000000,1600,5000,5000,5000,5000,5000,5100,5100,5100,5100,5100,894,0,1600.0,3003.2652808550974,740.0467569823377,5088.7741899932735,717.3937360178971
1752747156,100,,Aggregated,29.800000,0.000000,1600,5000,5000,5000,5000,5000,5100,5100,5100,5100,5100,918,0,1600.0,3005.452973065882,740.0467569823377,5104.462896997575,717.458605664488
1752747157,100,,Aggregated,30.200000,0.000000,1600,5000,5000,5000,5000,5100,5100,5100,5100,5100,5100,941,0,1600.0,3001.5178689004842,740.0467569823377,5112.92834096821,717.03825717322
1752747158,100,,Aggregated,29.900000,0.000000,1700,5000,5000,5000,5000,5100,5100,5100,5100,5100,5100,973,0,1700.0,3022.307609706372,740.0467569823377,5112.92834096821,718.858170606372
1752747159,100,,Aggregated,29.300000,0.000000,2000,5000,5000,5000,5000,5100,5100,5100,5100,5100,5100,1000,0,1900.0,3046.708727483521,740.0467569823377,5112.92834096821,721.119
1752747160,100,,Aggregated,29.800000,0.000000,1900,5000,5000,5000,5000,5100,5100,5100,5100,5100,5100,1031,0,1900.0,3046.6800443282727,740.0467569823377,5112.92834096821,721.1280310378273
1752747161,100,,Aggregated,28.600000,0.000000,2000,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1058,0,1900.0,3051.2907661307013,740.0467569823377,5112.92834096821,721.2287334593573
1752747162,100,,Aggregated,28.700000,0.000000,1800,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1086,0,1700.0,3038.822975495762,740.0467569823377,5112.92834096821,719.7836095764272
1752747163,100,,Aggregated,29.000000,0.000000,1800,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1117,0,1800.0,3046.113624785422,740.0467569823377,5112.92834096821,720.2694717994628
1752747164,100,,Aggregated,28.700000,0.000000,1800,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1153,0,1800.0,3045.7230672873425,740.0467569823377,5112.92834096821,719.7224631396357
1752747165,100,,Aggregated,28.200000,0.000000,1700,5000,5000,5000,5100,5100,5100,5100,5100,5100,5100,1187,0,1700.0,3041.511431062577,740.0467569823377,5112.92834096821,719.0058972198821
